,rsp_id,country,departamento,municipio,neighborhood,rural_urban,rsp_sex,rsp_age,hh_size,remittances_yn,remesa_efectivo_uso_pct/2,exp_6months_currency,exp_6months_health,avg_income_currency,avg_income_amount,exp_6months_health_USD
1453,3545,SLV,1184,15573,Caserio,1,1,43,6,1,10.0,1,0.0,1.0,200.0,0.0
1454,3544,SLV,1184,15573,Caserio,1,2,53,7,1,,1,80.0,1.0,200.0,80.0
1470,3528,SLV,1184,15573,Casco urbano,2,1,57,3,0,,1,400.0,,,400.0
1471,3527,SLV,1184,15573,Canton Corozo,1,1,33,3,1,,1,100.0,,,100.0
1472,3526,SLV,1184,15573,Canton el corozo,1,1,25,2,0,,1,0.0,,,0.0
1473,3525,SLV,1184,15573,Casco urbano,2,1,20,4,0,,1,0.0,1.0,200.0,0.0
1474,3524,SLV,1184,15573,El corozo,1,1,61,5,0,,1,1000.0,,,1000.0
1475,3523,SLV,1184,15573,"
San Francisco menendez ",2,1,38,5,0,,1,60.0,1.0,100.0,60.0
1476,3522,SLV,1184,15573,El corozo,1,1,25,4,1,,1,600.0,,,600.0
1477,3521,SLV,1184,15573,El corozo,1,1,53,2,0,,1,20.0,1.0,100.0,20.0
1478,3520,SLV,1184,15573,Canton el corozo,1,2,53,5,0,,1,35.0,1.0,100.0,35.0
1495,3503,SLV,1184,15574,Los Grijalvas,1,1,24,3,0,,1,150.0,1.0,200.0,150.0
1497,3501,SLV,1184,15574,Los Najarro,1,2,46,3,0,,1,0.0,1.0,100.0,0.0
1498,3500,SLV,1184,15574,Los Najarro,1,2,51,5,0,,1,30.0,1.0,150.0,30.0
1499,3499,SLV,1184,15574,Los Najarros,1,1,53,3,0,,1,300.0,1.0,300.0,300.0
1500,3498,SLV,1184,15574,Los Najarro,1,1,79,2,0,,1,300.0,1.0,100.0,300.0
1521,3477,SLV,1184,15573,Hacienda nueva York ,1,1,40,7,0,,1,30.0,,,30.0
1522,3476,SLV,1184,15573,Hacienda nueva York ,1,1,23,3,0,,1,0.0,1.0,120.0,0.0
1523,3475,SLV,1184,15573,Hacienda nueva york,1,1,53,6,1,,1,0.0,,,0.0
1524,3474,SLV,1184,15573,Hacienda nueva  york,1,2,25,3,0,,1,200.0,1.0,250.0,200.0
1525,3473,SLV,1184,15573,Nueva york,1,2,65,1,0,,1,20.0,,,20.0
1526,3472,SLV,1184,15573,Cacerio nueva york,1,1,34,6,0,,1,90.0,,,90.0
1527,3471,SLV,1184,15573,Hacienda nueva york,1,1,58,4,0,,1,0.0,,,0.0
1528,3470,SLV,1184,15573,Hacienda nueva york,1,2,23,4,0,,1,750.0,1.0,375.0,750.0
1529,3469,SLV,1184,15573,Hacienda nueva york,1,2,41,5,1,,1,100.0,1.0,150.0,100.0
1530,3468,SLV,1184,15573,Hacienda Nueva york,1,2,52,3,1,,1,80.0,,,80.0
1531,3467,SLV,1184,15573,Hacienda nueva york,1,1,27,5,0,,1,100.0,1.0,200.0,100.0
1532,3466,SLV,1184,15573,Hacienda nueva york,1,1,21,4,0,,1,0.0,1.0,120.0,0.0
1533,3465,SLV,1184,15566,Hacienda Nueva York,1,2,55,5,1,5.0,1,0.0,1.0,250.0,0.0
1534,3464,SLV,1184,15573,Hacienda nueva york,1,1,23,4,1,100.0,1,1980.0,1.0,300.0,1980.0
1535,3463,SLV,1184,15573,Hacienda Nueva York ,1,1,55,5,1,100.0,1,400.0,1.0,360.0,400.0
1536,3462,SLV,1184,15573,Hacienda nueva york,1,2,28,4,1,,1,0.0,1.0,350.0,0.0
1537,3461,SLV,1184,15573,Hacienda Nueva York,1,1,39,5,1,,1,80.0,1.0,280.0,80.0
1538,3460,SLV,1184,15573,Hacienda nueva york,1,1,39,4,1,,1,88.0,1.0,400.0,88.0
1539,3459,SLV,1184,15573,Hacienda Nueva york,1,1,66,2,1,20.0,1,60.0,,,60.0
1553,3445,SLV,1184,15573,Casco Urbano,2,1,62,8,1,,1,0.0,1.0,600.0,0.0
1554,3444,SLV,1184,15573,Coroso,1,1,50,5,1,10.0,1,0.0,,,0.0
1555,3443,SLV,1184,15566,"San Francisco Menendez, El Coroso",1,1,68,2,1,10.0,1,0.0,,,0.0
1558,3440,SLV,1184,15573,Casco urbano,2,1,81,5,0,,1,80.0,1.0,1200.0,80.0
1559,3439,SLV,1184,15573,El corozo,1,2,61,7,1,20.0,1,210.0,1.0,200.0,210.0
1560,3438,SLV,1184,15573,El corozo,1,1,40,5,0,,1,0.0,,,0.0
1566,3432,SLV,1184,15574,San juan buenavista,1,2,48,5,1,50.0,1,75.0,1.0,150.0,75.0
1567,3431,SLV,1184,15574,San juan buenavista,1,1,55,6,0,,1,15.0,,,15.0
1568,3430,SLV,1184,15574,San juan buenavista,1,1,43,5,0,,1,80.0,,,80.0
1569,3429,SLV,1184,15574,San Juan Buenavista,1,2,53,2,0,,1,30.0,1.0,150.0,30.0
1570,3428,SLV,1184,15574,San juan buena vista,1,1,30,4,0,,1,300.0,,,300.0
