,rsp_id,country,departamento,municipio,neighborhood,rural_urban,rsp_sex,rsp_age,hh_size,remittances_yn,remesa_efectivo_uso_pct/2,exp_6months_currency,exp_6months_health,avg_income_currency,avg_income_amount,exp_6months_health_USD
2706,2292,HND,901726,1021446,Calpules,1,1,80,1,0,,2,123.0,,,5.043
2707,2291,HND,901726,1021446,Calpules,1,2,66,3,0,,2,123.0,,,5.043
2708,2290,HND,901726,1021446,Calpules,1,1,33,3,0,,2,61.5,2.0,82.0,2.5215
2709,2289,HND,901726,1021446,Los Calpules,1,1,66,2,0,,2,0.0,,,0.0
2710,2288,HND,901726,1021446,Los Calpules,1,2,60,4,0,,2,0.0,,,0.0
2711,2287,HND,901726,1021446,Los Calpules,1,1,35,5,0,,2,0.0,,,0.0
2712,2286,HND,901726,1021446,Los Calpules,1,1,23,3,0,,2,0.0,,,0.0
2713,2285,HND,901726,1021446,Los Calpules,1,1,28,4,0,,2,0.0,,,0.0
2714,2284,HND,901726,1021446,Los calpules,1,1,58,3,0,,2,123.0,,,5.043
2722,2276,HND,901742,1021724,Barrio Escolar,2,2,56,9,0,,2,278.8,,,11.430800000000001
2723,2275,HND,901726,1021453,San Jose,1,1,34,6,0,,2,49.2,2.0,123.0,2.0172000000000003
2724,2274,HND,901726,1021453,San Jose,1,1,54,5,0,,2,82.0,2.0,20.5,3.362
2725,2273,HND,901726,1021453,San Jose,1,1,38,5,0,,2,0.0,2.0,53.3,0.0
2726,2272,HND,901726,1021453,San Jose,1,1,43,3,0,,2,41.0,2.0,20.5,1.681
2727,2271,HND,901726,1021445,Guanijiquil,1,1,58,5,0,,2,12.3,,,0.5043000000000001
2728,2270,HND,901726,1021445,Guanijiquil,1,2,63,4,0,,2,61.5,,,2.5215
2729,2269,HND,901726,1021445,Guanijiqui,1,1,39,6,0,,2,20.5,,,0.8405
2730,2268,HND,901726,1021445,Guanijiquil,1,1,46,7,0,,2,34.85,,,1.4288500000000002
2731,2267,HND,901726,1021445,Guanijiquil,1,1,44,4,0,,2,0.0,,,0.0
2732,2266,HND,901726,1021445,El Guanijiquil ,1,1,54,12,0,,2,82.0,2.0,82.0,3.362
2733,2265,HND,901726,1021445,El Guanijiquil ,1,1,36,4,0,,2,61.5,,,2.5215
2734,2264,HND,901726,1021445,El Guanijiquil,1,1,43,5,1,25.0,2,123.0,2.0,123.0,5.043
2735,2263,HND,901726,1021445,El Guanijiquil,1,1,37,4,0,,2,41.0,2.0,123.0,1.681
2736,2262,HND,901726,1021445,El Guanijiquil,1,1,34,9,0,,2,779.0,2.0,246.0,31.939
2737,2261,HND,901742,1021724,Barrio San Jose,2,2,77,4,1,25.0,2,348.5,1.0,800.0,14.2885
2738,2260,HND,901742,1021727,"Sulaco, Barrio Maria Auxiliadora",2,1,61,8,1,30.0,2,49.2,2.0,82.0,2.0172000000000003
2739,2259,HND,901742,1021727,"Sulaco, Col. Fraternidad Canadiense",2,1,70,4,0,,2,123.0,2.0,82.0,5.043
2740,2258,HND,901742,1021727,"Sulaco, Barrio Brisas del Norte",2,1,45,14,1,,2,369.0,2.0,61.5,15.129000000000001
2741,2257,HND,901742,1021727,"Sulaco,Col. 22 de Mayo",2,1,38,4,0,,2,82.0,2.0,41.0,3.362
2742,2256,HND,901742,1021727,"Sulaco, Col. 22 de Mayo",2,1,55,2,0,,2,0.0,2.0,82.0,0.0
2743,2255,HND,901742,1021727,"Sulaco,Col. 22 de Mayo",2,1,59,8,1,,2,28.7,2.0,82.0,1.1767
2744,2254,HND,901742,1021727,"Sulaco, Col. Fraternidad canadiense ",2,2,68,6,1,,2,123.0,2.0,41.0,5.043
2745,2253,HND,901742,1021727,Las Ca_as,1,1,87,8,1,,2,14.76,2.0,82.0,0.60516
2746,2252,HND,901742,1021727,Las Ca_as,1,1,60,8,0,,2,73.8,2.0,82.0,3.0258
2747,2251,HND,901742,1021727,Las Ca_as,1,1,65,9,0,,2,20.5,2.0,41.0,0.8405
2748,2250,HND,901742,1021727,Las Ca_as ,1,1,59,6,1,,2,410.0,2.0,82.0,16.810000000000002
2749,2249,HND,901742,1021727,Las Ca_as,1,1,60,9,0,,2,86.1,2.0,41.0,3.5301
2750,2248,HND,901742,1021727,Las Ca_as,1,1,75,4,0,,2,82.0,2.0,82.0,3.362
2751,2247,HND,901742,1021727,Las Ca_as,1,1,57,7,0,,2,0.0,2.0,82.0,0.0
2752,2246,HND,901742,1021727,Las Ca_as,1,1,68,6,1,30.0,2,49.2,2.0,82.0,2.0172000000000003
2753,2245,HND,901742,1021727,Las Ca_as,1,1,62,8,1,100.0,2,28.7,2.0,82.0,1.1767
2754,2244,HND,901742,1021727,"Sulaco, Col.Adalid Gonzales",2,1,35,10,0,,2,0.0,2.0,41.0,0.0
2755,2243,HND,901742,1021727,Sulaco Col.Adalid Gonzales,2,1,75,4,1,30.0,2,615.0,2.0,82.0,25.215
