,rsp_id,country,hh_size,remittances_yn,remesa_efectivo_uso_pct/2,exp_6months_health_USD,govt_ngo_help,health_top_priority
217,4781,SLV,5,1,50.0,50.0,0,0
219,4779,SLV,3,1,,100.0,0,0
220,4778,SLV,1,0,,1.014,0,0
221,4777,SLV,3,1,50.0,400.0,0,0
222,4776,SLV,3,0,,50.0,0,0
223,4775,SLV,4,0,,18.0,0,0
225,4773,SLV,6,1,70.0,100.0,0,1
226,4772,SLV,4,0,,8.0,0,0
227,4771,SLV,4,0,,48.0,0,0
228,4770,SLV,5,0,,100.0,0,0
229,4769,SLV,0,0,,0.3362,0,1
230,4768,SLV,7,0,,40.0,0,1
231,4767,SLV,1,0,,1200.0,0,1
232,4766,SLV,3,0,,200.0,0,0
233,4765,SLV,2,0,,50.0,0,0
234,4764,SLV,1,0,,100.0,0,0
237,4761,SLV,5,0,,90.0,1,1
238,4760,SLV,3,0,,1500.0,0,0
239,4759,SLV,7,0,,60.0,1,1
247,4751,SLV,8,1,30.0,70.0,0,0
254,4744,SLV,3,0,,150.0,0,1
255,4743,SLV,3,1,50.0,100.0,0,0
256,4742,SLV,4,0,,75.0,0,0
257,4741,SLV,2,99,,250.0,0,0
258,4740,SLV,3,1,,25.0,0,0
259,4739,SLV,2,0,,40.0,0,0
261,4737,SLV,7,0,,4.0,0,1
263,4735,SLV,4,0,,300.0,0,0
265,4733,SLV,4,0,,20.0,0,0
266,4732,SLV,1,0,,100.0,0,0
267,4731,SLV,3,0,,80.0,0,1
273,4725,SLV,4,1,50.0,300.0,0,0
274,4724,SLV,3,0,,400.0,0,0
275,4723,SLV,5,1,10.0,10.0,0,0
277,4721,SLV,3,0,,80.0,0,1
278,4720,SLV,5,1,25.0,150.0,0,1
279,4719,SLV,5,1,,40.0,0,0
280,4718,SLV,4,1,,30.0,0,0
292,4706,SLV,5,1,50.0,50.0,0,0
293,4705,SLV,3,0,,180.0,0,0
299,4699,SLV,13,1,70.0,1200.0,0,1
302,4696,SLV,6,1,,25.0,0,0
370,4628,SLV,4,1,,4000.0,0,0
371,4627,SLV,4,0,,6.0,0,0
373,4625,SLV,5,1,,150.0,0,0
375,4623,SLV,4,0,,300.0,0,0
376,4622,SLV,2,0,,30.0,0,0
377,4621,SLV,4,0,,60.0,0,0
378,4620,SLV,5,0,,40.0,0,0
379,4619,SLV,5,0,,100.0,0,1
380,4618,SLV,6,0,,300.0,0,1
381,4617,SLV,3,0,,50.0,0,1
383,4615,SLV,2,0,,200.0,0,0
384,4614,SLV,5,1,,150.0,0,1
385,4613,SLV,7,0,,150.0,0,1
386,4612,SLV,3,0,,60.0,0,1
387,4611,SLV,7,1,,20.0,0,1
388,4610,SLV,3,1,30.0,65.0,0,1
389,4609,SLV,3,1,50.0,310.0,0,0
390,4608,SLV,4,99,,10.0,0,0
391,4607,SLV,5,0,,140.0,0,0
392,4606,SLV,1,1,20.0,260.0,0,1
393,4605,SLV,6,1,100.0,600.0,0,1
394,4604,SLV,4,1,,37.0,0,0
395,4603,SLV,6,0,,40.0,0,0
396,4602,SLV,5,0,,60.0,0,0
397,4601,SLV,5,0,,300.0,0,0
399,4599,SLV,3,0,,100.0,0,0
404,4594,SLV,3,1,,120.0,0,0
405,4593,SLV,2,0,,308.0,0,0
406,4592,SLV,3,0,,10.0,0,0
408,4590,SLV,6,0,,500.0,0,0
410,4588,SLV,4,0,,200.0,0,0
414,4584,SLV,3,1,,200.0,0,0
416,4582,SLV,4,0,,600.0,0,0
417,4581,SLV,3,1,10.0,500.0,0,0
420,4578,SLV,5,1,,50.0,0,0
421,4577,SLV,5,0,,300.0,0,0
423,4575,SLV,4,1,,300.0,0,0
424,4574,SLV,5,0,,300.0,0,0
425,4573,SLV,4,1,,300.0,0,0
426,4572,SLV,3,0,,300.0,0,0
427,4571,SLV,4,1,,500.0,0,0
428,4570,SLV,4,0,,40.0,0,0
429,4569,SLV,3,1,,180.0,0,0
431,4567,SLV,6,0,,150.0,0,0
432,4566,SLV,5,0,,200.0,0,0
433,4565,SLV,4,1,,50.0,0,0
434,4564,SLV,1,0,,40.0,0,1
436,4562,SLV,3,1,,20.0,0,0
438,4560,SLV,9,0,,150.0,0,0
440,4558,SLV,4,0,,30.0,0,0
442,4556,SLV,3,1,,35.0,0,0
443,4555,SLV,5,0,,20.0,0,0
444,4554,SLV,3,1,,7.0,0,1
446,4552,SLV,3,0,,20.0,0,0
447,4551,SLV,5,0,,20.0,0,0
449,4549,SLV,7,0,,150.0,0,1
450,4548,SLV,5,0,,30.0,0,0
454,4544,SLV,4,1,50.0,1800.0,0,0
455,4543,SLV,2,0,,500.0,0,0
456,4542,SLV,3,0,,500.0,0,0
457,4541,SLV,6,0,,240.0,0,0
458,4540,SLV,6,1,,600.0,0,0
460,4538,SLV,5,1,20.0,140.0,0,0
461,4537,SLV,6,1,10.0,150.0,0,1
462,4536,SLV,3,0,,40.0,0,1
463,4535,SLV,3,0,,60.0,0,0
464,4534,SLV,6,0,,180.0,0,1
465,4533,SLV,3,0,,200.0,0,1
467,4531,SLV,5,0,,25.0,0,0
468,4530,SLV,3,0,,16.0,0,0
471,4527,SLV,6,0,,40.0,0,0
472,4526,SLV,8,1,,150.0,0,0
473,4525,SLV,5,0,,150.0,0,0
